code,id,equipement_id,date,x,voie,horodatage,vitesse,longueur
M7i,6460,6460,2019-02-18 00:13:33.048,10254080033.0,1.0,254.0,80.0,33.0
M7i,6460,6460,2019-02-18 00:13:44.548,1330112041.0,0.0,1330.0,112.0,41.0
M7i,6460,6460,2019-02-18 00:13:56.548,12407111039.0,1.0,2407.0,111.0,39.0
M7i,6460,6460,2019-02-18 00:14:02.549,3218113048.0,0.0,3218.0,113.0,48.0
M7i,6460,6460,2019-02-18 00:14:33.049,20358135048.0,2.0,358.0,135.0,48.0
M7i,6460,6460,2019-02-18 00:14:45.048,11667108045.0,1.0,1667.0,108.0,45.0
M7i,6460,6460,2019-02-18 00:14:56.548,2823099037.0,0.0,2823.0,99.0,37.0
M7i,6460,6460,2019-02-18 00:15:03.049,13237092040.0,1.0,3237.0,92.0,40.0
M7i,6460,6460,2019-02-18 00:15:15.049,4508102042.0,0.0,4508.0,102.0,42.0
M7i,6460,6460,2019-02-18 00:15:33.049,115087041.0,0.0,115.0,87.0,41.0
M7i,6460,6460,2019-02-18 00:15:51.048,22093142054.0,2.0,2093.0,142.0,54.0
M7i,6460,6460,2019-02-18 00:15:57.048,12470085042.0,1.0,2470.0,85.0,42.0
M7i,6460,6460,2019-02-18 00:16:15.049,4360096043.0,0.0,4360.0,96.0,43.0
M7i,6460,6460,2019-02-18 00:16:27.048,5920093046.0,0.0,5920.0,93.0,46.0
M7i,6460,6460,2019-02-18 00:16:33.068,10110104044.0,1.0,110.0,104.0,44.0
M7i,6460,6460,2019-02-18 00:16:51.048,2190100037.0,0.0,2190.0,100.0,37.0
M7i,6460,6460,2019-02-18 00:16:57.049,12938103038.0,1.0,2938.0,103.0,38.0
M7i,6460,6460,2019-02-18 00:17:09.049,3728100040.0,0.0,3728.0,100.0,40.0
M7i,6460,6460,2019-02-18 00:17:15.049,14659103040.0,1.0,4659.0,103.0,40.0
M7i,6460,6460,2019-02-18 00:17:39.048,10977100038.0,1.0,977.0,100.0,38.0
M7i,6460,6460,2019-02-18 00:18:32.549,10358108046.0,1.0,358.0,108.0,46.0
M7i,6460,6460,2019-02-18 00:18:45.049,1209093041.0,0.0,1209.0,93.0,41.0
M7i,6460,6460,2019-02-18 00:18:57.049,2725090037.0,0.0,2725.0,90.0,37.0
M7i,6460,6460,2019-02-18 00:19:14.549,14590113039.0,1.0,4590.0,113.0,39.0
M7i,6460,6460,2019-02-18 00:19:21.049,5247099041.0,0.0,5247.0,99.0,41.0
M7i,6460,6460,2019-02-18 00:19:39.048,935101040.0,0.0,935.0,101.0,40.0
M7i,6460,6460,2019-02-18 00:19:45.049,1286078038.0,0.0,1286.0,78.0,38.0
M7i,6460,6460,2019-02-18 00:19:56.548,2897090037.0,0.0,2897.0,90.0,37.0
M7i,6460,6460,2019-02-18 00:20:50.549,12338124037.0,1.0,2338.0,124.0,37.0
M7i,6460,6460,2019-02-18 00:21:09.049,3916091044.0,0.0,3916.0,91.0,44.0
M7i,6460,6460,2019-02-18 00:21:21.049,15087088037.0,1.0,5087.0,88.0,37.0
M7i,6460,6460,2019-02-18 00:21:39.049,1143114037.0,0.0,1143.0,114.0,37.0
M7i,6460,6460,2019-02-18 00:21:51.049,12303118033.0,1.0,2303.0,118.0,33.0
M7i,6460,6460,2019-02-18 00:22:03.049,3526102043.0,0.0,3526.0,102.0,43.0
M7i,6460,6460,2019-02-18 00:22:08.549,13705099040.0,1.0,3705.0,99.0,40.0
M7i,6460,6460,2019-02-18 00:22:33.049,10125114042.0,1.0,125.0,114.0,42.0
M7i,6460,6460,2019-02-18 00:22:51.048,1962100048.0,0.0,1962.0,100.0,48.0
M7i,6460,6460,2019-02-18 00:22:57.049,12645088038.0,1.0,2645.0,88.0,38.0
M7i,6460,6460,2019-02-18 00:23:15.061,4788109033.0,0.0,4788.0,109.0,33.0
